X_i, allowed Y_i
-32768, "[0; 32767]"
-32767, "[-1; 32767]"
-32766, "[-2; 32767]"
-32765, "[-3; 32767]"
-32764, "[-4; 32767]"
-32763, "[-5; 32767]"
-32762, "[-6; 32767]"
-32761, "[-7; 32767]"
-32760, "[-8; 32767]"
-32759, "[-9; 32767]"
-32758, "[-10; 32767]"
-32757, "[-11; 32767]"
-32756, "[-12; 32767]"
-32755, "[-13; 32767]"
-32754, "[-14; 32767]"
-32753, "[-15; 32767]"
-32752, "[-16; 32767]"
-32751, "[-17; 32767]"
-32750, "[-18; 32767]"
-32749, "[-19; 32767]"
-32748, "[-20; 32767]"
-32747, "[-21; 32767]"
-32746, "[-22; 32767]"
-32745, "[-23; 32767]"
-32744, "[-24; 32767]"
-32743, "[-25; 32767]"
-32742, "[-26; 32767]"
-32741, "[-27; 32767]"
-32740, "[-28; 32767]"
-32739, "[-29; 32767]"
-32738, "[-30; 32767]"
-32737, "[-31; 32767]"
-32736, "[-32; 32767]"
-32735, "[-33; 32767]"
-32734, "[-34; 32767]"
-32733, "[-35; 32767]"
-32732, "[-36; 32767]"
-32731, "[-37; 32767]"
-32730, "[-38; 32767]"
-32729, "[-39; 32767]"
-32728, "[-40; 32767]"
-32727, "[-41; 32767]"
-32726, "[-42; 32767]"
-32725, "[-43; 32767]"
-32724, "[-44; 32767]"
-32723, "[-45; 32767]"
-32722, "[-46; 32767]"
-32721, "[-47; 32767]"
-32720, "[-48; 32767]"
-32719, "[-49; 32767]"
-32718, "[-50; 32767]"
-32717, "[-51; 32767]"
-32716, "[-52; 32767]"
-32715, "[-53; 32767]"
-32714, "[-54; 32767]"
-32713, "[-55; 32767]"
-32712, "[-56; 32767]"
-32711, "[-57; 32767]"
-32710, "[-58; 32767]"
-32709, "[-59; 32767]"
-32708, "[-60; 32767]"
-32707, "[-61; 32767]"
-32706, "[-62; 32767]"
-32705, "[-63; 32767]"
-32704, "[-64; 32767]"
-32703, "[-65; 32767]"
-32702, "[-66; 32767]"
-32701, "[-67; 32767]"
-32700, "[-68; 32767]"
-32699, "[-69; 32767]"
-32698, "[-70; 32767]"
-32697, "[-71; 32767]"
-32696, "[-72; 32767]"
-32695, "[-73; 32767]"
-32694, "[-74; 32767]"
-32693, "[-75; 32767]"
-32692, "[-76; 32767]"
-32691, "[-77; 32767]"
-32690, "[-78; 32767]"
-32689, "[-79; 32767]"
-32688, "[-80; 32767]"
-32687, "[-81; 32767]"
-32686, "[-82; 32767]"
-32685, "[-83; 32767]"
-32684, "[-84; 32767]"
-32683, "[-85; 32767]"
-32682, "[-86; 32767]"
-32681, "[-87; 32767]"
-32680, "[-88; 32767]"
-32679, "[-89; 32767]"
-32678, "[-90; 32767]"
-32677, "[-91; 32767]"
-32676, "[-92; 32767]"
-32675, "[-93; 32767]"
-32674, "[-94; 32767]"
-32673, "[-95; 32767]"
-32672, "[-96; 32767]"
-32671, "[-97; 32767]"
-32670, "[-98; 32767]"
-32669, "[-99; 32767]"
-32668, "[-100; 32767]"
-32667, "[-101; 32767]"
-32666, "[-102; 32767]"
-32665, "[-103; 32767]"
-32664, "[-104; 32767]"
-32663, "[-105; 32767]"
-32662, "[-106; 32767]"
-32661, "[-107; 32767]"
-32660, "[-108; 32767]"
-32659, "[-109; 32767]"
-32658, "[-110; 32767]"
-32657, "[-111; 32767]"
-32656, "[-112; 32767]"
-32655, "[-113; 32767]"
-32654, "[-114; 32767]"
-32653, "[-115; 32767]"
-32652, "[-116; 32767]"
-32651, "[-117; 32767]"
-32650, "[-118; 32767]"
-32649, "[-119; 32767]"
-32648, "[-120; 32767]"
-32647, "[-121; 32767]"
-32646, "[-122; 32767]"
-32645, "[-123; 32767]"
-32644, "[-124; 32767]"
-32643, "[-125; 32767]"
-32642, "[-126; 32767]"
-32641, "[-127; 32767]"
-32640, "[-128; 32767]"
-32639, "[-129; 32767]"
-32638, "[-130; 32767]"
-32637, "[-131; 32767]"
-32636, "[-132; 32767]"
-32635, "[-133; 32767]"
-32634, "[-134; 32767]"
-32633, "[-135; 32767]"
-32632, "[-136; 32767]"
-32631, "[-137; 32767]"
-32630, "[-138; 32767]"
-32629, "[-139; 32767]"
-32628, "[-140; 32767]"
-32627, "[-141; 32767]"
-32626, "[-142; 32767]"
-32625, "[-143; 32767]"
-32624, "[-144; 32767]"
-32623, "[-145; 32767]"
-32622, "[-146; 32767]"
-32621, "[-147; 32767]"
-32620, "[-148; 32767]"
-32619, "[-149; 32767]"
-32618, "[-150; 32767]"
-32617, "[-151; 32767]"
-32616, "[-152; 32767]"
-32615, "[-153; 32767]"
-32614, "[-154; 32767]"
-32613, "[-155; 32767]"
-32612, "[-156; 32767]"
-32611, "[-157; 32767]"
-32610, "[-158; 32767]"
-32609, "[-159; 32767]"
-32608, "[-160; 32767]"
-32607, "[-161; 32767]"
-32606, "[-162; 32767]"
-32605, "[-163; 32767]"
-32604, "[-164; 32767]"
-32603, "[-165; 32767]"
-32602, "[-166; 32767]"
-32601, "[-167; 32767]"
-32600, "[-168; 32767]"
-32599, "[-169; 32767]"
-32598, "[-170; 32767]"
-32597, "[-171; 32767]"
-32596, "[-172; 32767]"
-32595, "[-173; 32767]"
-32594, "[-174; 32767]"
-32593, "[-175; 32767]"
-32592, "[-176; 32767]"
-32591, "[-177; 32767]"
-32590, "[-178; 32767]"
-32589, "[-179; 32767]"
-32588, "[-180; 32767]"
-32587, "[-181; 32767]"
-32586, "[-182; 32767]"
-32585, "[-183; 32767]"
-32584, "[-184; 32767]"
-32583, "[-185; 32767]"
-32582, "[-186; 32767]"
-32581, "[-187; 32767]"
-32580, "[-188; 32767]"
-32579, "[-189; 32767]"
-32578, "[-190; 32767]"
-32577, "[-191; 32767]"
-32576, "[-192; 32767]"
-32575, "[-193; 32767]"
-32574, "[-194; 32767]"
-32573, "[-195; 32767]"
-32572, "[-196; 32767]"
-32571, "[-197; 32767]"
-32570, "[-198; 32767]"
-32569, "[-199; 32767]"
-32568, "[-200; 32767]"
-32567, "[-201; 32767]"
-32566, "[-202; 32767]"
-32565, "[-203; 32767]"
